address,in_btc,out_btc,balance,in_degree,out_degree,unique_in_degree,unique_out_degree,mean_in_btc,mean_out_btc,first_active,last_active,max_in_btc,min_in_btc,max_out_btc,min_out_btc,in_standard_deviation,out_standard_deviation,in_transaction_frequency,out_transaction_frequency,in_amount_frequency,out_amount_frequency
1KHEdN3ducM9c1jugoH8WKHZzgLxu2yV63,10.0,10.0,0.0,1,1,1,2,10.0,10.0,2011-01-14T05:44:44Z,2011-01-14T09:25:17Z,10.0,10.0,9.090909090909092,0.9090909090909091,0.0,4.090909090909092,1.0,1.0,10.0,10.0
16Tpj2p76UHbjwapj9ktHp9cuLwkPHLi5z,180.0,180.0,0.0,5,5,5,9,36.0,36.0,2011-01-14T05:44:44Z,2011-08-16T12:40:52Z,40.0,20.0,40.0,1.19,8.0,15.224079610932149,0.02336448598130841,0.02336448598130841,0.8411214953271028,0.8411214953271028
19iTtz3GPJGQcBC2HhzhswKNTuf9TNMCie,65.06,65.06,0.0,1,1,1,2,65.06,65.06,2011-01-14T05:44:44Z,2011-01-14T05:50:02Z,65.06,65.06,65.01,0.05,0.0,32.480000000000004,1.0,1.0,65.06,65.06
1JJ7ansqxn7Dabab33A2z2EE6yBqwhUB7o,65.01,65.01,0.0,1,1,1,2,65.01,65.01,2011-01-14T05:50:02Z,2011-01-14T05:53:12Z,65.01,65.01,64.96,0.05,0.0,32.455,1.0,1.0,65.01,65.01
18wNVPYwR5ovy9YnTmaWMMT9XBN6UyQ39q,64.96,64.96,0.0,1,1,1,2,64.96,64.96,2011-01-14T05:53:12Z,2011-01-14T06:45:55Z,64.96,64.96,64.91,0.05,0.0,32.43,1.0,1.0,64.96,64.96
1Jngi6D3pq8JBjj4t9jr8czd6eVTqw7khR,350.0,350.0,0.0,4,4,6,4,87.5,87.5,2010-12-26T16:54:10Z,2011-01-21T15:57:28Z,150.0,0.9414598716297464,150.0,0.017642129405019188,46.067514060135785,50.983276074823706,0.16,0.16,14.0,14.0
1ECG9uGcLfV8R7AqGExWhHSQEYXEE9yqot,87.35,87.35,0.0,23,15,32,26,3.7978260869565217,5.823333333333333,2011-01-03T21:42:09Z,2021-03-16T01:36:38Z,20.0,0.01,19.930244145490782,2.58e-06,4.628068960404731,4.88089367928813,0.006176154672395274,0.004027926960257788,0.02345596133190118,0.02345596133190118
1HE8BCKp4gduvJnU6hSPeYFDg1ruCqmFWR,65.0,65.0,0.0,1,1,1,2,65.0,65.0,2011-01-14T06:18:18Z,2011-01-16T11:27:42Z,65.0,65.0,63.0,2.0,0.0,30.5,0.5,0.5,32.5,32.5
1N7FLFskqkiSnNnsFrrX1ttHv86Wg8GAkE,315.6,315.6,0.0,1,1,1,2,315.6,315.6,2011-01-14T06:45:55Z,2011-01-14T08:19:01Z,315.6,315.6,315.55,0.05,0.0,157.75,1.0,1.0,315.6,315.6
1Dt69QTvgK6gEG2T3WM3ys7sQKWnXaprVG,64.91,64.91,0.0,1,1,1,2,64.91,64.91,2011-01-14T06:45:55Z,2011-01-14T08:12:15Z,64.91,64.91,64.86,0.05,0.0,32.405,1.0,1.0,64.91,64.91
