hash,sender,receiver,amount,timestamp
2e58a66cd47cb9023bb7de68467c950c56128031986fdc34c5df109a97c82a28,1Cyy28eUthJZuFboeDa79azauJSAyC5VfG,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,1.0,2013-11-18T10:32:10+00:00
6f54f8b9360aaa12692e1d7d4f9b156ef52cca6381760ce9a26998342ff85789,1Cyy28eUthJZuFboeDa79azauJSAyC5VfG,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.65,2013-11-09T03:01:42+00:00
3ce374b251de99003ee08d6ee0235b53034d0a724704f8d24d29eb46c9b75a68,17xZJribbcU7n7TPX6sxPFkSgYxFynZgX1,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.4517057528107252,2013-11-03T01:16:36+00:00
1831a94ec3c0930702c154bc8634e259543df08dc10de8a9e8c44e2eddd1ce18,1DKp3bRpSKEMsXtxLcqUNybe8PLKi48Ecx,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.35734776,2013-11-18T02:17:50+00:00
7cbe6c36d1daca98e7943fc428f25ca180971cd11c461da97c03b149153c0c04,1Cyy28eUthJZuFboeDa79azauJSAyC5VfG,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.25,2013-11-08T03:32:08+00:00
278d04fe728837156c0360843d74af0edd2b585d5963a03ea534c7aeb4dcef16,1Cyy28eUthJZuFboeDa79azauJSAyC5VfG,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.1,2013-11-12T20:48:33+00:00
c2e323c5e261965fd4e9f86914cafac33f9d69e26e567ef45f3452e6aceb9016,1H9g2wK6h6CsKvEsbcm3RWauRkBXrEA46T,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.09310788149526789,2013-11-16T04:35:46+00:00
b8f3bb3566eb198e48165376751603a93a098cd503404d5c49affda168e159b8,1GDUDPvE9BNZdsVDkcMAsGYEetVGKXDedC,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.07599871811759895,2013-11-16T03:39:11+00:00
4063ca750cfa712abca766a82fc7b6eb261014e309868172cfa14d949287a1ac,175kjWz9YK6RBgLtLWPUtNBpgayuf7NEvc,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.075,2013-11-04T17:05:30+00:00
0334a42f1478bcf1f41ec22e2c8aa17d894bca35e1fdc90c04c50fa8006d0c2f,1Cyy28eUthJZuFboeDa79azauJSAyC5VfG,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.07,2013-11-12T19:10:47+00:00
44271602d43abee3a5a52ebf03bc180d40aafe2e0b1568cadce8c0e02f03789c,1PeX7gcYPbhq8iKbqyi2q44TKmSjYgcs4U,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.07,2013-11-13T17:15:13+00:00
244b7db3d4ca8ea753e089f20219e05c4293bd8749e8f79460e0eb61bb59bce4,1PAgZq5e3XjWDj17DN5EPrhFLFxyCtb5aB,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.06820916956255227,2013-11-15T06:23:44+00:00
30e9e75a940030e1a20cdebccdf47dcd2ce86c3e2a88b1fdc00436307ba7a129,1K2NVEUzc353kPPzUsLJt6uzuMJ8kJnjGa,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.06600650448203108,2013-11-04T17:05:30+00:00
2538805561ee6c582804449b69652bee1feda1833ad5bc3c1ced84286d5a934e,1CNc8HV8hQoG5XQ3s6oxwRQNMLewvLDyZd,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.055,2013-11-03T21:07:06+00:00
671198b9fc6baaba9f84289adca0431fa738178fdbbf0ca627b017f88c36f71d,1DfpeyjTHMUXdXix87xQqcN25db854AuBY,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.05,2013-11-04T17:27:00+00:00
4015afd48c2b691631a9307e6ce63ee4d999eb1cdf8c670a244386e60acb70c2,1AUbNukyVdL64kNga6wCdvvLBWvLQWbb7t,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.05,2013-11-03T21:16:02+00:00
3ce374b251de99003ee08d6ee0235b53034d0a724704f8d24d29eb46c9b75a68,1DfpeyjTHMUXdXix87xQqcN25db854AuBY,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.048294247189274817,2013-11-03T01:16:36+00:00
1b0cd8143207ed22ba39bd442304520490fb3dbce519fc6efdd7c154b9d93872,14wvXhCcmVXpGvCSEDnHDH33DHgEweBhRL,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.041369954213803184,2013-11-15T19:00:27+00:00
b6be80d068e0fbae82ae874155477e7eb9557194c9527245a9c2f2688383592f,1G3KzukqbGKHH5RxhKLDXvFxEWSYRPA6i2,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.03001684,2013-11-07T22:41:24+00:00
d3b068723483e9767422f70f28e7dfabd82be340dc595a2f11a0e5959328574a,1AzoQy7ryNi31kDAPfxR4vgjPQZsFVUyiE,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.029139216614015747,2013-11-16T18:33:04+00:00
16c369a3b56bf9e48d2c3e392539d752d6139ac17bd95abb0a925dab7e0aa05c,1BLjPaztcXWnVpfgTdtiJDuGq4Lt8NFwCm,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.02665860554971019,2013-11-04T04:29:44+00:00
55680631c2934897bd9d6d4e6cc07b84d9bd9c74bd96280650e4448178ad9afc,12Ea8jkGnVnSFxiPYhaFxcaYJQkPrxcgkS,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.0262812,2013-11-05T06:10:00+00:00
7e85d57e0df86d83e64f8cd063d25751227a83aaed0006a961b4cbcc93c4bafb,1QDoFyp1HUvVFq36nqnwX35YPXjRbnnFgL,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.025,2013-11-14T19:13:59+00:00
9b72ac07c698f2c544465db37c34e8043e73c0dd278bf4791372c6b480b985bc,1AbvMyDGp3wPwFCv23JyL3ceP8jseGp234,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.02498911932096233,2013-11-16T20:37:48+00:00
4314816977b3c4dbba498f17065a5e5f700bf3da708b31bd30968d59dd86fd96,18DCrX7HCbq5cVpmthEy6Za2EJdSRNw1Jm,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.02358661,2013-11-03T20:30:51+00:00
a95910701d95a36cf60d399ada39b158a9c3704996322664e6645fb807c34926,1Nak38Uj2NVL9AN9TKps4tNm71LCwf8t7Q,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.02225703950659307,2013-11-03T20:30:51+00:00
de316c5b826574a15a75e12307fe12776a90303593ac333693f3f6fbcce41000,18vvxAoAUCmqiJhZqFmgFbAiUHUyNnJb95,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.021173864658435713,2013-11-16T02:16:57+00:00
fe26278d57015cc5fad53ae249002af4c33e79d8eb6c92b184e8b13b52e854dc,1Cyy28eUthJZuFboeDa79azauJSAyC5VfG,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.02,2013-11-15T01:06:57+00:00
2d7f061ece69f75b17005b53a9cb5cec9b46f3ac3d1d6a48c7ae086a9773ff25,1Juzq3oT5YgQ4bSUVLzqzov9opTv27EyGe,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.01591491884386072,2013-07-11T04:48:41+00:00
4862a0f1575f38b83d5aa502dbe31e2044ea4b45ca69a941b02d8e2b7aab9322,1PiMHKbcEWLWbXBQJFtQ8QdUVXpSuGgsdw,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.015702,2013-11-29T00:21:52+00:00
644e0ff1553f1aecfa406a4abb662589eeac2d03838cc775a0dea6e56971c2de,1K45orYNC6aGXaWFhLM42TqBJcxCBKc8QE,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.015596653456627037,2013-07-11T03:59:21+00:00
2d7f061ece69f75b17005b53a9cb5cec9b46f3ac3d1d6a48c7ae086a9773ff25,156cj2Dqn594uq3J5hwJdJZRNDnp3kgVDZ,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.015024200623466946,2013-07-11T04:48:41+00:00
2e3898d681011f27825415cb46cfef1beb2f897eadc4ce61d33c7984ae1c66ab,1FoWZLxXy9rpF3yXPbrHFBuNwyYMn7askF,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.015,2013-11-03T18:21:05+00:00
3ba80fb9cf206160524589266780da63e3474418ae7b1ff5e1546ce5e5d3dc59,1NyP1epro5VvDCo4r863QyYbuKwzyA7B7P,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.015,2013-11-15T02:19:16+00:00
a14228f04be4aaae06860d6ff2cbd6db264429a66b470aa22b5d25dbe2c99129,1FfEP7J9S2UZ4PCYx5P87sqP5RpdaF4x2,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.015,2013-11-03T18:21:05+00:00
836b4e1bdb7dcf6f97747208bb5e65dba2a5ce324b2ea7fa29fbf39a9cc095d7,1FfEP7J9S2UZ4PCYx5P87sqP5RpdaF4x2,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.014999999999999998,2013-11-05T15:20:04+00:00
16c369a3b56bf9e48d2c3e392539d752d6139ac17bd95abb0a925dab7e0aa05c,1AH6HGMzxdhV2z6knkkmDMcC5RUzDwrKgs,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.014952607709863586,2013-11-04T04:29:44+00:00
587b1e99288b124d25bbdececd412c68ec766f8d24cac634542664431d0f6e29,1Zyx7ySNNcPtpcAx4hYtqKWun4R3mgkDE,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.0141,2013-11-03T04:27:48+00:00
40a1e2e60f52e2775acac11554068ec2251d9ebbba7cbf55425a28aee5593009,16cHegacEMstqX3v1449gKrNBoQRX2Zcye,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.014000000000000002,2013-11-03T04:13:16+00:00
3fa0ed84a0cbc64438c1e340f92fa7228ebb72f3bd85a7157f8c3b81695f8a92,16gGpgb1fGS8Yrsw4BjKYugHAAUeGmpFFW,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.014,2013-11-03T04:02:15+00:00
dacd54ce85a2b17c817bc0dbd236c183c994abe47c12d5863b9d21871c666ef1,1A9gnZtxz77h61wAi1bu39aA45VHU6VDh3,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.013,2013-11-15T02:19:16+00:00
cbbf8bbc88533894fc01917966daba9ad8a2a7a28f690e7fdb23e857d9dfc180,16Z7xVzxJVCG4DKEpsAJHJExQrNUpHW1J6,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.01201868861774067,2013-10-25T06:50:27+00:00
650f65f00933f9a93ab44fa5dd5b62b07f9182cef83a1ec4100ba8b1afcbddb6,1CfuCuonDkEQyPkLETLAeiwt56LGhkSV3q,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.011503356798146902,2013-11-15T21:23:09+00:00
a0fe969f79592a9d68543833464b9f643670b8d861e6192daf8f982d81ddc601,1JGakc6bKtk2hikyo1F5PcaGD5hTgv2tKq,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.011334459717862302,2013-11-15T07:07:44+00:00
d3b068723483e9767422f70f28e7dfabd82be340dc595a2f11a0e5959328574a,1CawdjbWvk5BAJ8n53nRsyLdWJEDgZFUm3,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.010860783385984257,2013-11-16T18:33:04+00:00
28e1a26936a0b8c1c4f6cf52df9868266f5155996a68953c421d0e536afde4d9,1Cyy28eUthJZuFboeDa79azauJSAyC5VfG,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.01,2013-10-25T17:03:05+00:00
75d81873bcb4f710501c6a80c13075e68dfb302fcf9cba7ae82fae4be60a877c,1JHufShB8FxQfXNYbERUMr9S2DS94dVSXV,1FpRUSgfbAVT5nbqmYy37gi6bJyBZuaPKB,0.01,2013-10-25T17:51:04+00:00
